# GRID = {'r': [1.2, 1.4, 1.6, 1.8, 2.0], 'allow_forced_l_in_cd': [True, False], 'pi0': [5, 10], 'kappa': [0.1, 0.5, 1]}
# BASE = Params(Lsize=50, T=50000, fc=0.5, fd=0.5, fL=None, pi0=5.0, r=1.6, sigma=0.25, alpha=1.0, gamma=20.0, beta=0.1, Min_Res=-10000.0, kappa=1, learn_signal='cumulative', seed=0, allow_forced_l_in_cd=False)
# REPLICAS = 50, T = 50000
allow_forced_l_in_cd,kappa,pi0,r,frac_C_mean,frac_D_mean,frac_L_mean,avg_res_mean,gini_mean,cum_sigma_mean,net_sum_res_mean
False,0.1,5,1.2,1.0,0.0,0.0,45.99999999999998,0.0,0.0,114999.99999999996
False,0.5,5,1.2,1.0,0.0,0.0,45.99999999999998,0.0,0.0,114999.99999999996
True,0.5,5,1.2,1.0,0.0,0.0,45.99999999999998,0.0,6197.22,108802.77999999997
True,0.1,10,1.2,1.0,0.0,0.0,45.99999999999998,0.0,2270.2,112729.79999999996
True,1,5,1.2,1.0,0.0,0.0,45.99999999999998,9.881857651002386e-21,6014.24,108985.75999999997
True,0.1,5,1.2,1.0,0.0,0.0,45.99999999999998,0.0,5749.46,109250.53999999996
True,1,10,1.2,1.0,0.0,0.0,45.99999999999998,0.0,2335.04,112664.95999999996
True,0.5,10,1.2,1.0,0.0,0.0,45.99999999999998,0.0,2449.08,112550.91999999997
False,1,5,1.2,1.0,0.0,0.0,45.99999999999998,9.881857651002386e-21,0.0,114999.99999999996
False,0.1,10,1.2,1.0,0.0,0.0,45.99999999999998,0.0,0.0,114999.99999999996
False,1,10,1.2,1.0,0.0,0.0,45.99999999999998,0.0,0.0,114999.99999999996
False,0.5,10,1.2,1.0,0.0,0.0,45.99999999999998,0.0,0.0,114999.99999999996
True,0.5,5,1.4,1.0,0.0,0.0,45.99999999999998,5.929114590601432e-20,22227.74,92772.25999999995
True,0.1,5,1.4,1.0,0.0,0.0,45.99999999999998,0.0,18683.5,96316.49999999994
True,0.1,10,1.4,1.0,0.0,0.0,45.99999999999998,0.0,12725.48,102274.51999999995
True,1,5,1.4,0.870504,0.129496,0.0,42.28744917328713,0.06025559349219727,22820.5,82898.12293321785
False,0.5,5,1.4,1.0,0.0,0.0,45.99999999999998,9.881857651002386e-21,0.0,114999.99999999996
True,0.5,10,1.4,1.0,0.0,0.0,45.99999999999998,9.881857651002386e-21,15737.72,99262.27999999994
False,0.1,5,1.4,1.0,0.0,0.0,45.99999999999998,0.0,0.0,114999.99999999996
True,1,10,1.4,0.872056,0.127944,0.0,42.35818364692723,0.05932326718127003,15854.36,90041.09911731804
False,0.1,10,1.4,1.0,0.0,0.0,45.99999999999998,0.0,0.0,114999.99999999996
False,0.5,10,1.4,1.0,0.0,0.0,45.99999999999998,2.964557295300716e-20,0.0,114999.99999999996
False,1,5,1.4,0.8671599999999999,0.13284,0.0,42.20289827255713,0.06164348541523745,0.0,105507.24568139284
False,1,10,1.4,0.8659679999999998,0.134032,0.0,42.14226333226024,0.0626626019692327,0.0,105355.65833065062
True,0.1,5,1.6,0.564248,0.4344400000000001,0.0013119999999999998,33.15905151837363,0.15404289940080448,246043.24,-163145.61120406594
True,0.5,5,1.6,0.51972,0.4736,0.00668,30.667239133819844,0.19206978999775445,793585.24,-716917.1421654503
True,1,5,1.6,0.45459199999999994,0.5245359999999999,0.020872,27.61623987818613,0.2392769750303506,3177322.76,-3108282.160304534
False,0.1,5,1.6,0.563904,0.436096,0.0,32.878493376448525,0.15947261882849958,0.0,82196.23344112132
True,0.1,10,1.6,0.5680719999999999,0.430552,0.001376,32.93107029734376,0.1564005520938501,241078.22,-158750.5442566406
False,0.5,5,1.6,0.520928,0.47907200000000005,0.0,30.64022757802835,0.19441433486666462,0.0,76600.56894507086
True,0.5,10,1.6,0.5252319999999999,0.4681119999999999,0.0066560000000000005,30.775362600684304,0.19008710522885086,791644.56,-714706.1534982893
True,1,10,1.6,0.450904,0.520648,0.028448,27.00310610554219,0.2534504434523338,3201955.04,-3134447.2747361446
False,1,5,1.6,0.45638400000000007,0.543616,0.0,25.658762311495664,0.29431377722087154,0.0,64146.90577873914
False,0.1,10,1.6,0.569296,0.430704,0.0,32.81847760514713,0.16142059515726223,0.0,82046.19401286784
False,0.5,10,1.6,0.521544,0.47845600000000005,0.0,30.57365965557866,0.196117476767684,0.0,76434.14913894664
False,1,10,1.6,0.456336,0.543664,0.0,26.26446687078723,0.2785749548951332,0.0,65661.16717696807
True,0.1,5,1.8,0.240016,0.49996,0.260024,13.947330437116827,0.541942236464994,34928625.52,-34893757.19390721
True,0.5,5,1.8,0.216368,0.455248,0.32838399999999995,12.268152064656004,0.5858866123120796,42481537.46,-42450867.07983836
True,1,5,1.8,0.19625599999999999,0.385864,0.41788000000000003,10.870814586318067,0.6294491639771631,50785141.06,-50757964.0235342
True,0.1,10,1.8,0.236224,0.489072,0.274704,13.556335894855739,0.5524595919253015,34930085.08,-34896194.24026286
False,0.1,5,1.8,0.09244800000000002,0.907552,0.0,-5917.562578997779,0.29393712606533107,0.0,-14793906.447494445
False,0.5,5,1.8,0.020640000000000002,0.9793599999999999,0.0,-9194.071395357045,0.05773827002407437,0.0,-22985178.48839261
True,0.5,10,1.8,0.19158400000000003,0.418056,0.39036000000000004,10.973985354117767,0.6216023825416953,49252567.82,-49225132.8566147
True,1,10,1.8,0.170648,0.35663200000000006,0.47272000000000003,9.60333100909137,0.6636583625672563,55955434.84,-55931426.51247727
False,1,5,1.8,0.006128,0.9938720000000001,0.0,-9729.504412566492,0.014735752172317197,0.0,-24323761.03141623
False,0.1,10,1.8,0.088968,0.9110320000000001,0.0,-6679.2487114272535,0.23239445051562263,0.0,-16698121.778568134
False,0.5,10,1.8,0.04104,0.9589599999999998,0.0,-8618.190573274194,0.09695279138118738,0.0,-21545476.433185488
False,1,10,1.8,0.014712000000000001,0.9852879999999999,0.0,-9131.237313612686,0.056885415802637736,0.0,-22828093.28403171
True,0.1,5,2.0,0.025504,0.072488,0.902008,1.4269639584063913,0.9402405291593752,102951377.82,-102947810.41010399
True,0.5,5,2.0,0.0022,0.006736,0.9910640000000001,0.18058561801948206,0.9555154399164146,115751164.36,-115750712.89595494
True,1,5,2.0,0.02,0.0,0.98,1.1009505547060254,0.8970780999169671,121652171.26,-121649418.88361323
True,0.1,10,2.0,0.019272,0.05167999999999999,0.929048,0.9726572697640004,0.9560572465407337,105768412.2,-105765980.5568256
True,0.5,10,2.0,0.003192,0.008584000000000001,0.988224,0.22678643923233166,0.95298403182496,117667935.76,-117667368.7939019
False,0.1,5,2.0,0.0,1.0,0.0,-9999.977824770905,2.1482053470867544e-06,0.0,-24999944.561927263
True,1,10,2.0,0.0,0.0,1.0,0.18925767047756548,0.9121194006510968,123938308.96,-123937835.81582381
False,0.5,5,2.0,0.0,1.0,0.0,-9999.976536836819,2.2716705080082628e-06,0.0,-24999941.34209205
False,1,5,2.0,0.0,1.0,0.0,-9999.97012926476,2.865655210166922e-06,0.0,-24999925.323161907
False,0.1,10,2.0,0.0,1.0,0.0,-9999.933343228251,6.112173842307653e-06,0.0,-24999833.35807063
False,0.5,10,2.0,0.0,1.0,0.0,-9999.930740700855,6.328238338566511e-06,0.0,-24999826.85175214
False,1,10,2.0,0.0,1.0,0.0,-9999.91642736829,7.482417554320563e-06,0.0,-24999791.068420723
