allow_forced_l_in_cd,learn_signal,r,frac_C_mean,frac_D_mean,frac_L_mean,avg_res_mean,gini_mean,cum_sigma_mean,net_sum_res_mean,cum_output_mean,cum_sigma_hat_mean,net_sum_res_hat_mean,cum_output_hat_mean
FALSE,cumulative,1.2,0.92588,0.074,0,93.720136,0.019163364,0,234300.34,468326316.4,0,0.001874403,3.746610532
TRUE,cumulative,1.2,0.926,0.0742,0,93.717688,0.019177573,46.2,234248.02,468292626.9,3.70E-07,0.001873984,3.746341015
FALSE,cumulative,1.4,0.949,0.05148,0,94.54713067,0.0128887,0,236367.8267,479014653.8,0,0.001890943,3.832117231
TRUE,cumulative,1.4,0.949,0.051,0,94.53314478,0.012971113,961.5,235371.3619,478758263,7.69E-06,0.001882971,3.830066104
FALSE,cumulative,1.6,0.706,0.294,0,-65,0.64971621,0,-162472.216,388478888,0,-0.001,3.107831104
TRUE,cumulative,1.6,0.715,0.279,0.00612,86.38786782,0.073021036,966925.8,-750956.13,391851193.4,0.007735406,-0.006,3.134809548
FALSE,cumulative,1.8,0.636,0.364,0,-432,0.831608152,0,-1078879.038,370213310.5,0,-0.009,2.961706484
TRUE,cumulative,1.8,0.714,0.27156,0.0142,85.85008522,0.087471235,1798450.3,-1583825.087,400755520.9,0.014,-0.013,3.206044167
FALSE,round,1.2,0.922,0.07844,0,93.588864,0.020125616,0,233972.16,466516502.9,0,0.001871777,3.732132023
TRUE,round,1.2,0.92212,0.07788,0,93.607008,0.019960478,115.2,233902.32,466768461.7,9.22E-07,0.001871219,3.734147693
FALSE,round,1.4,0.32708,0.67292,0,69.93296074,0.081722055,0,174832.4019,188880461,0,0.001398659,1.511043688
TRUE,round,1.4,0.32864,0.667,0.005,70.07974357,0.078451931,351418.5,-176219.141,188951530,0.003,-0.001,1.51161224
FALSE,round,1.6,0,1,0,-10000,1.63641E-05,0,-24999013.92,411406.8,0,-0.2,0.003291254
TRUE,round,1.6,0.279,0.43264,0.28884,64.7046005,0.147493883,39379338,-39217576.5,150476166.5,0.315,-0.314,1.203809332
FALSE,round,1.8,0,1,0,-10000,1.69044E-05,0,-24998915.23,1462206.24,0,-0.2,0.01169765
TRUE,round,1.8,0.272,0.3614,0.3666,59.04467504,0.216341793,47229064,-47081452.31,154411730.1,0.378,-0.377,1.235293841
